Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Shots,SoT,Yellows,Reds,Touches,Press,Tackles,Interceptions,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Carries,Prog,Succ,Att,Report,Name
Sat,MLS,Regular Season,Away,L 0–3,Atlanta Utd,Colorado Rapids,Y,CB,90,0,0,0,0,1,0,0,0,107,13,2,3,1,0.1,0.1,0.0,1,0,82,97,84.5,6,78,8,0,1,Match Report,Alan Franco
Sun,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Charlotte FC,Y,CB,90,0,0,0,0,1,0,0,0,72,5,0,3,1,0.0,0.0,0.0,2,1,51,65,78.5,2,48,2,1,1,Match Report,Alan Franco
Sat,MLS,Regular Season,Home,D 3–3,Atlanta Utd,CF Montréal,Y,CB,45,0,0,0,0,0,0,0,0,23,14,2,2,1,0.0,0.0,0.0,0,0,15,16,93.8,1,14,0,0,0,Match Report,Alan Franco
Sat,MLS,Regular Season,Away,W 1–0,Atlanta Utd,D.C. United,Y,CB,90,0,0,0,0,1,0,0,0,60,5,0,1,1,0.0,0.0,0.0,0,0,48,56,85.7,3,40,2,0,1,Match Report,Alan Franco
Sun,MLS,Regular Season,Away,L 0–1,Atlanta Utd,Charlotte FC,Y,CB,59,0,0,0,0,0,0,0,0,57,9,1,4,2,0.0,0.0,0.0,0,0,44,50,88.0,2,42,1,0,0,Match Report,Alan Franco
,,,,,,,,,,Alan Franco
Sun,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Inter Miami,N,"On matchday squad, but did not play",Match Report,Alan Franco
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,CF Montréal,Y,CB,90,0,0,0,0,0,0,1,0,76,13,5,7,2,0.0,0.0,0.0,1,0,62,64,96.9,6,51,3,1,2,Match Report,Alan Franco
Sat,MLS,Regular Season,Home,W 4–1,Atlanta Utd,Chicago Fire,Y,CB,90,0,0,0,0,0,0,0,0,112,8,2,4,2,0.0,0.0,0.0,0,0,98,102,96.1,1,93,2,0,0,Match Report,Alan Franco
Sun,MLS,Regular Season,Home,D 2–2,Atlanta Utd,New England,Y,CB,90,0,0,0,0,1,0,0,0,75,11,3,1,0,0.1,0.1,0.0,2,0,66,71,93.0,7,56,6,0,0,Match Report,Alan Franco
Sat,MLS,Regular Season,Away,D 2–2,Atlanta Utd,Nashville,Y,CB,90,0,0,0,0,1,1,0,0,82,11,2,1,3,0.0,0.0,0.0,0,0,61,72,84.7,6,52,1,0,0,Match Report,Alan Franco
Sat,MLS,Regular Season,Home,L 1–2,Atlanta Utd,Columbus Crew,Y,CB,90,0,1,0,0,1,1,1,0,82,11,1,0,2,0.0,0.0,0.3,3,1,70,76,92.1,9,57,9,0,0,Match Report,Alan Franco
Sun,MLS,Regular Season,Home,W 2–0,Atlanta Utd,Inter Miami,Y,CB,90,0,0,0,0,1,0,0,0,88,9,2,5,3,0.0,0.0,0.0,0,0,70,77,90.9,4,60,7,1,1,Match Report,Alan Franco
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Toronto FC,Y,CB,90,0,0,0,0,0,0,0,0,76,4,2,4,4,0.0,0.0,0.0,0,0,53,64,82.8,6,42,1,2,2,Match Report,Alan Franco
Thu,MLS,Regular Season,Away,L 1–2,Atlanta Utd,NY Red Bulls,Y,CB,90,0,0,0,0,0,0,0,0,66,10,1,2,7,0.0,0.0,0.0,0,0,50,56,89.3,2,38,0,0,0,Match Report,Alan Franco
Sun,MLS,Regular Season,Away,D 2–2,Atlanta Utd,NYCFC,Y,CB,90,0,0,0,0,0,0,0,0,75,8,3,1,3,0.0,0.0,0.0,1,1,54,61,88.5,4,47,0,1,1,Match Report,Alan Franco
Sat,MLS,Regular Season,Home,L 0–3,Atlanta Utd,Austin FC,Y,CB,90,0,0,0,0,1,0,0,0,93,5,2,3,3,0.1,0.1,0.1,4,0,71,79,89.9,6,67,7,0,1,Match Report,Alan Franco
Wed,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Real Salt Lake,Y,CB,90,0,0,0,0,1,1,0,0,89,2,1,0,1,0.1,0.1,0.0,1,0,75,77,97.4,3,55,2,0,0,Match Report,Alan Franco
Sun,MLS,Regular Season,Home,D 1–1,Atlanta Utd,Orlando City,Y,CB,90,0,0,0,0,0,0,0,0,77,4,1,1,2,0.0,0.0,0.0,2,0,65,75,86.7,4,61,9,2,2,Match Report,Alan Franco
Sun,MLS,Regular Season,Home,W 3–1,Atlanta Utd,Sporting KC,N,CM,16,0,1,0,0,1,1,0,0,9,5,0,0,0,0.0,0.0,0.4,2,1,6,7,85.7,2,7,3,0,0,Match Report,Marcelino Moreno
Sat,MLS,Regular Season,Away,L 0–3,Atlanta Utd,Colorado Rapids,N,RW,27,0,0,0,0,2,1,0,0,28,2,0,0,0,0.1,0.1,0.1,1,0,14,22,63.6,5,21,6,0,0,Match Report,Marcelino Moreno
